setting,spatial_unit_id,department_id,predictor_week,target_week,outcome,full_raw,noclim_raw,full_recal,noclim_recal
Colombia,COL.1.3_2,1,2022-03-27,,1,0.5212959914612725,0.46641403223619393,0.7130074151177,0.6607124282224174
Colombia,COL.1.3_2,1,2022-04-03,,1,0.3327623758493183,0.310701827069134,0.5187889258596177,0.5031316266540439
Colombia,COL.1.5_2,1,2020-01-05,,1,0.5418985184490374,0.4618518792803038,0.7307632478663794,0.6566405210878568
Colombia,COL.1.5_2,1,2020-01-12,,1,0.4798252655755262,0.3916236263801357,0.6753763268170857,0.5901007329973874
Colombia,COL.1.5_2,1,2020-01-19,,0,0.4700624899349319,0.3882575775827168,0.666133998277614,0.5867170859637395
Colombia,COL.1.5_2,1,2020-01-26,,1,0.41348736214352133,0.34499109504643544,0.6095041035562367,0.5414728921792777
Colombia,COL.1.5_2,1,2020-02-02,,0,0.495482389626632,0.41617739142429644,0.6898889342745448,0.6142239706198331
Colombia,COL.1.5_2,1,2020-02-09,,0,0.5220891263563519,0.46108994687113203,0.7137022090164855,0.6559576554007982
Colombia,COL.1.5_2,1,2020-02-16,,0,0.4589347929168123,0.3948343990083107,0.6554145115207911,0.5933107566183408
Colombia,COL.1.5_2,1,2020-02-23,,0,0.47930872567535887,0.4138125581201456,0.674891077738212,0.6119424471435331
Colombia,COL.1.5_2,1,2020-03-01,,0,0.3964026051494626,0.32248989166706726,0.5913200745559505,0.5165757453261949
Colombia,COL.1.5_2,1,2020-03-08,,0,0.4146114182779479,0.3677001183282428,0.6106822854122839,0.5656338671073591
Colombia,COL.1.5_2,1,2020-03-22,,0,0.32412953014573886,0.29103809877561576,0.5083366021550015,0.48006012804392056
Colombia,COL.1.5_2,1,2020-03-29,,0,0.32921897541887807,0.3043373026896494,0.5145171222698155,0.4957539632508255
Colombia,COL.1.5_2,1,2020-04-05,,0,0.3214697311841146,0.29984642431184644,0.5050854206967749,0.490496892605532
Colombia,COL.1.5_2,1,2020-10-18,,0,0.20012120240920525,0.20458935408848652,0.3402387014592915,0.3678587402518604
Colombia,COL.1.5_2,1,2020-10-25,,0,0.1847444196377229,0.18289592640129065,0.31690042274566815,0.336561112781506
Colombia,COL.1.5_2,1,2020-11-01,,0,0.3001790312691044,0.29381965557716927,0.4785287002922195,0.483374088154487
Colombia,COL.1.5_2,1,2020-11-08,,0,0.27560398375069184,0.26050555790204655,0.4466682312407547,0.4425380233346859
Colombia,COL.1.5_2,1,2020-11-15,,0,0.20025640625306787,0.18547018482621783,0.3404413649320644,0.3403486972323947
Colombia,COL.1.5_2,1,2020-11-22,,0,0.2197592938721451,0.19969198460546086,0.36921447151056497,0.36091432910971816
Colombia,COL.1.5_2,1,2020-11-29,,0,0.30604095155546385,0.26098469310784506,0.48593582095609705,0.44314359359244276
Colombia,COL.1.5_2,1,2020-12-06,,0,0.3080931879409862,0.2524035682591525,0.48851178669851686,0.43221402058621544
Colombia,COL.1.5_2,1,2020-12-13,,0,0.31026245245171186,0.25415211946563726,0.4912249777063032,0.4344556440086123
